uid,filename,artist,title,year,source,license,movement,keywords
ART0001,Art/ART0001__Paul_Klee__Angelus_Novus__1920.jpg,Paul Klee,Angelus Novus,1920,WIKIDATA+COMMONS,public domain,,
ART0002,Art/ART0002__Paul_Klee__Highway_and_Byways__1929.jpg,Paul Klee,Highway and Byways,1929,WIKIDATA+COMMONS,public domain,,
ART0003,Art/ART0003__Paul_Klee__Sumpflegende__1919.jpg,Paul Klee,Sumpflegende,1919,WIKIDATA+COMMONS,public domain,,
ART0004,Art/ART0004__Paul_Klee__Twittering_Machine__1922.jpg,Paul Klee,Twittering Machine,1922,WIKIDATA+COMMONS,public domain,,
ART0005,Art/ART0005__Paul_Klee__The_Light_and_So_Much_Else__1931.jpg,Paul Klee,The Light and So Much Else,1931,WIKIDATA+COMMONS,public domain,,
ART0006,Art/ART0006__Paul_Klee__Ab_ovo__1917.jpg,Paul Klee,Ab ovo,1917,WIKIDATA+COMMONS,public domain,,
ART0007,Art/ART0007__Paul_Klee__Ad_Parnassum__1932.jpg,Paul Klee,Ad Parnassum,1932,WIKIDATA+COMMONS,public domain,,
ART0008,Art/ART0008__Paul_Klee__Death_and_Fire__1940.jpg,Paul Klee,Death and Fire,1940,WIKIDATA+COMMONS,public domain,,
ART0009,Art/ART0009__Paul_Klee__Love_at_First_Sight__1924.jpg,Paul Klee,Love at First Sight,1924,WIKIDATA+COMMONS,public domain,,
ART0010,Art/ART0010__Paul_Klee__Ghost_of_a_Genius__1922.jpg,Paul Klee,Ghost of a Genius,1922,WIKIDATA+COMMONS,public domain,,
ART0011,Art/ART0011__Paul_Klee__Dittlsam__1918.JPG,Paul Klee,Dittlsam,1918,WIKIDATA+COMMONS,public domain,,
ART0012,Art/ART0012__Paul_Klee__Der_Mensch_ist_der_Mund_des_Herrn__1918.JPG,Paul Klee,Der Mensch ist der Mund des Herrn,1918,WIKIDATA+COMMONS,public domain,,
ART0013,Art/ART0013__Paul_Klee__Hafenbild_Nachts__1917.JPG,Paul Klee,Hafenbild Nachts,1917,WIKIDATA+COMMONS,public domain,,
ART0014,Art/ART0014__Paul_Klee__Miniatur_mit_dem_E_Emma__1916.JPG,Paul Klee,Miniatur mit dem E (Emma),1916,WIKIDATA+COMMONS,public domain,,
ART0015,Art/ART0015__Paul_Klee__Mit_der_Treppe__1918.JPG,Paul Klee,Mit der Treppe,1918,WIKIDATA+COMMONS,public domain,,
ART0016,Art/ART0016__Paul_Klee__Night_Feast__1921.jpg,Paul Klee,Night Feast,1921,WIKIDATA+COMMONS,public domain,,
ART0017,Art/ART0017__Paul_Klee__Red_Balloon__1922.jpg,Paul Klee,Red Balloon,1922,WIKIDATA+COMMONS,public domain,,
ART0018,Art/ART0018__Paul_Klee__Curtain__1924.jpg,Paul Klee,Curtain,1924,WIKIDATA+COMMONS,public domain,,
ART0019,Art/ART0019__Paul_Klee__Magic_Garden__1926.jpg,Paul Klee,Magic Garden,1926,WIKIDATA+COMMONS,public domain,,
ART0020,Art/ART0020__Paul_Klee__In_the_Current_Six_Thresholds__1929.jpg,Paul Klee,In the Current Six Thresholds,1929,WIKIDATA+COMMONS,public domain,,
ART0021,Art/ART0021__Paul_Klee__Open_Book__1930.jpg,Paul Klee,Open Book,1930,WIKIDATA+COMMONS,public domain,,
ART0022,Art/ART0022__Paul_Klee__Hat_Lady_and_Little_Table__1932.jpg,Paul Klee,"Hat, Lady and Little Table",1932,WIKIDATA+COMMONS,public domain,,
ART0023,Art/ART0023__Paul_Klee__Gemmi_Pass_Valais_Alps__1895.jpg,Paul Klee,"Gemmi Pass, Valais Alps",1895,WIKIDATA+COMMONS,public domain,,
ART0024,Art/ART0024__Paul_Klee__Hilterfingen__1895.jpg,Paul Klee,Hilterfingen,1895,WIKIDATA+COMMONS,public domain,,
ART0025,Art/ART0025__Paul_Klee__Thunersee_near_Schadau__1895.jpg,Paul Klee,Thunersee near Schadau,1895,WIKIDATA+COMMONS,public domain,,
ART0026,Art/ART0026__Paul_Klee__Comedian_Invention_4__1904.jpg,Paul Klee,Comedian (Invention 4),1904,WIKIDATA+COMMONS,public domain,,
ART0027,Art/ART0027__Paul_Klee__Aged_Phoenix_Invention_9__1905.jpg,Paul Klee,Aged Phoenix (Invention 9),1905,WIKIDATA+COMMONS,public domain,,
