uid,filename,artist,title,year,source,license,movement,keywords
ART0001,ART0001__George_Bellows_American_1882_1925__Stag_at_Sharkey_s__1909.jpg,"George Bellows (American, 1882–1925)",Stag at Sharkey's,1909,CMA,CC0,,
ART0002,ART0002__Charles_Sheeler_American_1883_1965__Church_Street_El__1920.jpg,"Charles Sheeler (American, 1883–1965)",Church Street El,1920,CMA,CC0,,
ART0003,ART0003__Henri_Rousseau_French_1844_1910__Fight_between_a_Tiger_and_a_Buffalo__1908.jpg,"Henri Rousseau (French, 1844–1910)",Fight between a Tiger and a Buffalo,1908,CMA,CC0,,
ART0004,ART0004__John_Sloan_American_1871_1951__A_Woman_s_Work__1912.jpg,"John Sloan (American, 1871–1951)",A Woman's Work,1912,CMA,CC0,,
ART0005,ART0005__Claude_Monet_French_1840_1926__Water_Lilies_Agapanthus__c_1915_26.jpg,"Claude Monet (French, 1840–1926)",Water Lilies (Agapanthus),c. 1915–26,CMA,CC0,,
ART0006,ART0006__Edouard_Vuillard_French_1868_1940__Caf_Wepler__c_1908_10_reworked_in_1912.jpg,"Edouard Vuillard (French, 1868–1940)",Café Wepler,"c. 1908–10, reworked in 1912",CMA,CC0,,
ART0007,ART0007__Ernst_Ludwig_Kirchner_German_1880_1938__Wrestlers_in_a_Circus__1909.jpg,"Ernst Ludwig Kirchner (German, 1880–1938)",Wrestlers in a Circus,1909,CMA,CC0,,
ART0008,ART0008__Winslow_Homer_American_1836_1910__Early_Morning_After_a_Storm_at_Sea__1900_1903.jpg,"Winslow Homer (American, 1836–1910)",Early Morning After a Storm at Sea,1900–1903,CMA,CC0,,
ART0009,ART0009__Paul_Gauguin_French_1848_1903__The_Call__1902.jpg,"Paul Gauguin (French, 1848–1903)",The Call,1902,CMA,CC0,,
ART0010,ART0010__Georgia_O_Keeffe_American_1887_1986__Morning_Glory_with_Black__1926.jpg,"Georgia O'Keeffe (American, 1887–1986)",Morning Glory with Black,1926,CMA,CC0,,
ART0011,ART0011__Rockwell_Kent_American_1882_1971__Maine_Coast__1907.jpg,"Rockwell Kent (American, 1882–1971)",Maine Coast,1907,CMA,CC0,,
ART0012,ART0012__George_Luks_American_1866_1933__Holiday_on_the_Hudson__c_1912.jpg,"George Luks (American, 1866–1933)",Holiday on the Hudson,c. 1912,CMA,CC0,,
ART0013,ART0013__Maurice_Prendergast_American_1858_1924__On_the_Beach_No_3__c_1915_18.jpg,"Maurice Prendergast (American, 1858–1924)","On the Beach, No. 3",c. 1915–18,CMA,CC0,,
ART0014,ART0014__John_Sloan_American_1871_1951__The_Rathskeller__1901.jpg,"John Sloan (American, 1871–1951)",The Rathskeller,1901,CMA,CC0,,
ART0015,ART0015__Edmund_C_Tarbell_American_1862_1938__On_Bos_n_s_Hill__1901.jpg,"Edmund C. Tarbell (American, 1862–1938)",On Bos'n's Hill,1901,CMA,CC0,,
ART0016,ART0016__Piet_Mondrian_Dutch_1872_1944__Composition_with_Red_Yellow_and_Blue__1927.jpg,"Piet Mondrian (Dutch, 1872–1944)","Composition with Red, Yellow, and Blue",1927,CMA,CC0,,
ART0017,ART0017__Amedeo_Modigliani_Italian_1884_1920__Portrait_of_a_Woman__c_1917_18.jpg,"Amedeo Modigliani (Italian, 1884–1920)",Portrait of a Woman,c. 1917–18,CMA,CC0,,
ART0018,ART0018__Emil_Carlsen_American_1848_1932__Wood_Interior__c_1910.jpg,"Emil Carlsen (American, 1848–1932)",Wood Interior,c. 1910,CMA,CC0,,
ART0019,ART0019__Georgia_O_Keeffe_American_1887_1986__White_Pansy__1927.jpg,"Georgia O'Keeffe (American, 1887–1986)",White Pansy,1927,CMA,CC0,,
ART0020,ART0020__Julian_Alden_Weir_American_1852_1919__The_Building_of_the_Dam__1908.jpg,"Julian Alden Weir (American, 1852–1919)",The Building of the Dam,1908,CMA,CC0,,
ART0021,ART0021__Max_Bohm_American_1868_1923__Lucy__1909.jpg,"Max Bohm (American, 1868–1923)",Lucy,1909,CMA,CC0,,
ART0022,ART0022__Odilon_Redon_French_1840_1916__Vase_of_Flowers__c_1905.jpg,"Odilon Redon (French, 1840–1916)",Vase of Flowers,c. 1905,CMA,CC0,,
ART0023,ART0023__Leon_Kroll_American_1884_1974__The_Park_Winter__1923.jpg,"Leon Kroll (American, 1884–1974)",The Park-Winter,1923,CMA,CC0,,
ART0024,ART0024__Preston_Dickinson_American_1891_1930__Still_Life__c_1924.jpg,"Preston Dickinson (American, 1891–1930)",Still Life,c. 1924,CMA,CC0,,
ART0025,ART0025__Raymond_Jonson_American_1891_1982__Rock_at_Sea__1920_1922.jpg,"Raymond Jonson (American, 1891–1982)",Rock at Sea,1920–1922,CMA,CC0,,
ART0026,ART0026__Pierre_Auguste_Renoir_French_1841_1919__Young_Woman_Arranging_Her_Earring__1905.jpg,"Pierre-Auguste Renoir (French, 1841–1919)",Young Woman Arranging Her Earring,1905,CMA,CC0,,
ART0027,ART0027__Harold_Gilman_British_1876_1919__Sylvia_Gosse__c_1913.jpg,"Harold Gilman (British, 1876–1919)",Sylvia Gosse,c. 1913,CMA,CC0,,
ART0028,ART0028__Carl_Gaertner_American_1898_1952__The_Pie_Wagon__c_1926.jpg,"Carl Gaertner (American, 1898–1952)",The Pie Wagon,c. 1926,CMA,CC0,,
